key,en,cs,target,notes,status
app.title,VetBara,VetBara,VetBara,Target intentionally blank for reviewer translation.,needs_review
app.subtitle,Pilot digital examination workspace,Pilotní digitální zkušební prostředí,Pilot radni prostor za digitalno ispitivanje,Target intentionally blank for reviewer translation.,needs_review
language.label,Language,Jazyk,jezik,Target intentionally blank for reviewer translation.,needs_review
role.centre,Centre,Centrum,Centre,Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
role.candidate,Candidate,Kandidát,Candidate,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
role.examiner,Examiner,Zkoušející,Examiner,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
scanner.open,Open QR scanner,Otevřít QR skener,otvori QR scanner,Target intentionally blank for reviewer translation.,needs_review
scanner.close,Close scanner,Zavřít skener,Zatvori skener,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.title,Pilot smoke-test checklist,Kontrolní pilotní smoke-test checklist,Kontrolni popis pilot smoke-testa,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.subtitle,Use this after each deploy to confirm the pilot workflow still works.,"Použijte po každém nasazení pro ověření, že pilotní workflow stále funguje.",Upotrijebite nakon svakog deploya kako biste potvrdili da pilot tijek rada i dalje funkcionira.,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.loadCentre,Load Centre Setup,Načíst Centre Setup,ucitaj Centre Setup,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.candidatesExaminers,Confirm candidates and examiners are visible,"Ověřit, že jsou vidět kandidáti a zkoušející",potvrdi kandidati and ispitivaci are vidljivo,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.testPackage,Import or verify test package,Importovat nebo ověřit testový balíček,uvezi or verify test paket,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.candidateQr,Open Candidate QR and save a written test answer,Otevřít Candidate QR a uložit odpověď ve written test,otvori Candidate QR and spremi a Pismeni test odgovor,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.report,"For Consulting Candidate, save report draft and pilot/archive placeholder",U Consulting kandidáta uložit návrh reportu a pilot/archive placeholder,"For Consulting Candidate, spremi izvjestaj nacrt and pilot/archive placeholder","Protected term(s): Candidate, Consulting, pilot/archive placeholder. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.examinerQr,Open Examiner QR and save outdoor score and note,Otevřít Examiner QR a uložit outdoor skóre a poznámku,otvori Examiner QR and spremi outdoor score and note,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
