key,en,cs,target,notes,status
app.title,VetBara,VetBara,VetBara,Target intentionally blank for reviewer translation.,needs_review
app.subtitle,Pilot digital examination workspace,Pilotní digitální zkušební prostředí,Spatiu pilot pentru examinare digitala,Target intentionally blank for reviewer translation.,needs_review
language.label,Language,Jazyk,Limba,Target intentionally blank for reviewer translation.,needs_review
role.centre,Centre,Centrum,Centre,Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
role.candidate,Candidate,Kandidát,Candidate,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
role.examiner,Examiner,Zkoušející,Examiner,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
scanner.open,Open QR scanner,Otevřít QR skener,Deschide QR scanner,Target intentionally blank for reviewer translation.,needs_review
scanner.close,Close scanner,Zavřít skener,Închide scanerul,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.title,Pilot smoke-test checklist,Kontrolní pilotní smoke-test checklist,Lista de verificare smoke-test pilot,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.subtitle,Use this after each deploy to confirm the pilot workflow still works.,"Použijte po každém nasazení pro ověření, že pilotní workflow stále funguje.",Utilizați după fiecare deploy pentru a confirma că fluxul de lucru pilot încă funcționează.,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.loadCentre,Load Centre Setup,Načíst Centre Setup,Încarcă Centre Setup,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.candidatesExaminers,Confirm candidates and examiners are visible,"Ověřit, že jsou vidět kandidáti a zkoušející",Confirma candidati și examinatori sunt vizibil,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.testPackage,Import or verify test package,Importovat nebo ověřit testový balíček,Importa sau verificați pachet de test,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.candidateQr,Open Candidate QR and save a written test answer,Otevřít Candidate QR a uložit odpověď ve written test,Deschide Candidate QR și salvează un Test scris răspuns,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.report,"For Consulting Candidate, save report draft and pilot/archive placeholder",U Consulting kandidáta uložit návrh reportu a pilot/archive placeholder,"Pentru Consulting Candidate, salvează raport schita și pilot/archive placeholder","Protected term(s): Candidate, Consulting, pilot/archive placeholder. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.examinerQr,Open Examiner QR and save outdoor score and note,Otevřít Examiner QR a uložit outdoor skóre a poznámku,Deschide Examiner QR și salvează outdoor scor și notă,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.preview,Load Evaluation Preview,Načíst Evaluation Preview,Încarcă Previzualizare evaluare,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.draftExport,Download Draft Export,Stáhnout Draft Export,Descarca Draft Export,Protected term(s): Draft Export. Do not translate unless explicitly approved during review.,needs_review
pilot.smoke.auditExport,Download Centre Audit Package,Stáhnout Centre Audit Package,Descarca Centre Audit Package,"Protected term(s): Centre, Centre Audit Package. Do not translate unless explicitly approved during review.",needs_review
pilot.release.title,Pilot release notes,Poznámky k pilotní verzi,Notă de lansare pilot,Target intentionally blank for reviewer translation.,needs_review
pilot.release.subtitle,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,Tento panel popisuje rozsah pilotního prototypu. Nejde o oficiální certifikační výstup VETcert.,Acest panou descrie domeniul prototipului pilot. Nu este ieșirea oficială de certificare VETcert.,Target intentionally blank for reviewer translation.,needs_review
pilot.release.available,Available in this pilot,Dostupné v tomto pilotu,Disponibil în acest pilot,Target intentionally blank for reviewer translation.,needs_review
pilot.release.notIncluded,Not included yet,Zatím není zahrnuto,Nu este inclus încă,Target intentionally blank for reviewer translation.,needs_review
help.candidate.title,Candidate quick help,Rychlá nápověda pro kandidáta,Candidate ajutor rapid,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
help.candidate.qr,Scan your personal Candidate QR issued by the Centre.,Naskenujte svůj osobní Candidate QR vydaný Centrem.,Scanează dvs. personal Candidate QR emis de Centre.,"Protected term(s): Candidate, Centre, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
help.candidate.identity,Confirm your identity before opening sections.,Před otevřením sekcí potvrďte svou identitu.,Confirma dvs. identitate înainte de un deschide secțiuni.,Target intentionally blank for reviewer translation.,needs_review
help.candidate.autosave,Written test answers autosave to the sync queue.,Odpovědi ve written test se automaticky ukládají do sync queue.,Test scris răspunsuri salvare automată la sync queue.,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
help.candidate.photos,"Consulting report photo entries are pilot/archive placeholders, not real uploads yet.","Foto položky v Consulting reportu jsou zatím pilot/archive placeholders, nejde o skutečný upload.","Consulting raport intrări foto sunt pilot/archive placeholders, not încărcări reale încă.","Protected term(s): Consulting, pilot/archive placeholder. Do not translate unless explicitly approved during review.",needs_review
help.candidate.ask,"If something looks wrong, ask Centre staff before final submit.","Pokud něco vypadá špatně, před finálním odesláním se zeptejte personálu Centra.","Dacă ceva pare greșit, întrebați Centre personal înainte de trimitere finală.",Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
help.examiner.title,Examiner quick help,Rychlá nápověda pro zkoušejícího,Examiner ajutor rapid,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
help.examiner.qr,Scan your personal Examiner QR issued by the Centre.,Naskenujte svůj osobní Examiner QR vydaný Centrem.,Scanează dvs. personal Examiner QR emis de Centre.,"Protected term(s): Examiner, Centre, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
help.examiner.identity,Confirm your identity before opening outdoor forms.,Před otevřením outdoor forms potvrďte svou identitu.,Confirma dvs. identitate înainte de un deschide outdoor formulare.,Target intentionally blank for reviewer translation.,needs_review
help.examiner.assigned,Only assigned Candidates are shown.,Zobrazují se pouze přiřazení kandidáti.,Doar atribuit Candidates sunt afișați.,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
help.examiner.primary,Primary Examiner completes the full outdoor form; Secondary input is supporting.,Primary Examiner vyplňuje celý outdoor form; Secondary input je podpůrný.,Primary Examiner completează complet outdoor form; Secondary intrare este de suport.,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
help.examiner.autosave,Scores and notes autosave to the sync queue.,Skóre a poznámky se automaticky ukládají do sync queue.,Scoruri și notă salvare automată la sync queue.,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
help.examiner.missing,"If assigned Candidates are missing, ask the Centre to assign and save Centre Setup.","Pokud přiřazení kandidáti chybí, požádejte Centrum o přiřazení a uložení Centre Setup.","Dacă atribuit Candidates sunt lipsa, întrebați Centre la atribuiți și salvează Centre Setup.","Protected term(s): Candidate, Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.validation.title,Centre Setup checks,Kontroly Centre Setup,Centre Setup checks,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.validation.ready,Ready for pilot smoke test,Připraveno pro pilotní smoke test,Gata pentru pilot smoke test,Target intentionally blank for reviewer translation.,needs_review
centre.validation.action,Action required before pilot smoke test,Před pilotním smoke testem je potřeba zásah,Action necesar înainte de pilot smoke test,Target intentionally blank for reviewer translation.,needs_review
centre.validation.helper,Errors should be fixed before distributing QR links. Warnings can be reviewed during pilot preparation.,Chyby je vhodné opravit před distribucí QR odkazů. Varování lze vyhodnotit během přípravy pilotu.,Erorile trebuie corectate înainte de distribuirea linkuri QR. Avertismentele pot fi revizuite în timpul pregătirea pilotului.,Target intentionally blank for reviewer translation.,needs_review
centre.validation.empty,No validation issues. Setup is ready for pilot smoke test.,Žádné validační problémy. Setup je připraven pro pilotní smoke test.,Nu validation issues. Setup este gata pentru pilot smoke test.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.title,Pilot readiness guardrails,Pilotní guardrails připravenosti,Reguli de pregatire pilot,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.helper,"These guardrails do not block demo testing, but they should be resolved before a real pilot run.","Tyto guardrails neblokují demo testování, ale před reálným pilotem by měly být vyřešeny.","These guardrails do not block demo testare, but they should be resolved înainte de un reale pilot run.",Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.ready,Pilot readiness looks good.,Pilotní připravenost vypadá dobře.,Pilot readiness looks good.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.validation,Fix validation errors before distributing QR links.,Opravte validační chyby před distribucí QR odkazů.,Fix validation errors înainte de distribuirea linkuri QR.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.unsaved,Save Centre Setup before distributing QR links.,Uložte Centre Setup před distribucí QR odkazů.,salvează Centre Setup înainte de distribuirea linkuri QR.,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
