key,en,cs,target,notes,status
app.title,VetBara,VetBara,VetBara,Target intentionally blank for reviewer translation.,needs_review
app.subtitle,Pilot digital examination workspace,Pilotní digitální zkušební prostředí,Pilotarbeidsflate for digital eksamen,Target intentionally blank for reviewer translation.,needs_review
language.label,Language,Jazyk,Språk,Target intentionally blank for reviewer translation.,needs_review
role.centre,Centre,Centrum,Centre,Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
role.candidate,Candidate,Kandidát,Candidate,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
role.examiner,Examiner,Zkoušející,Examiner,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
scanner.open,Open QR scanner,Otevřít QR skener,Åpne QR scanner,Target intentionally blank for reviewer translation.,needs_review
scanner.close,Close scanner,Zavřít skener,Lukk skanner,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.title,Pilot smoke-test checklist,Kontrolní pilotní smoke-test checklist,Sjekkliste for pilot smoke-test,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.subtitle,Use this after each deploy to confirm the pilot workflow still works.,"Použijte po každém nasazení pro ověření, že pilotní workflow stále funguje.",Bruk dette etter hver deploy for å bekrefte at pilotarbeidsflyten fortsatt fungerer.,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.loadCentre,Load Centre Setup,Načíst Centre Setup,Last inn Centre Setup,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.candidatesExaminers,Confirm candidates and examiners are visible,"Ověřit, že jsou vidět kandidáti a zkoušející",Bekreft kandidater og sensorer er synlig,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.testPackage,Import or verify test package,Importovat nebo ověřit testový balíček,Importer eller verifiser testpakke,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.candidateQr,Open Candidate QR and save a written test answer,Otevřít Candidate QR a uložit odpověď ve written test,Åpne Candidate QR og lagre en Skriftlig test svar,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.report,"For Consulting Candidate, save report draft and pilot/archive placeholder",U Consulting kandidáta uložit návrh reportu a pilot/archive placeholder,"For Consulting Candidate, lagre rapport utkast og pilot/archive placeholder","Protected term(s): Candidate, Consulting, pilot/archive placeholder. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.examinerQr,Open Examiner QR and save outdoor score and note,Otevřít Examiner QR a uložit outdoor skóre a poznámku,Åpne Examiner QR og lagre utendørs poeng og notat,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.preview,Load Evaluation Preview,Načíst Evaluation Preview,Last inn Forhandsvisning av evaluering,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.draftExport,Download Draft Export,Stáhnout Draft Export,Last ned Draft Export,Protected term(s): Draft Export. Do not translate unless explicitly approved during review.,needs_review
pilot.smoke.auditExport,Download Centre Audit Package,Stáhnout Centre Audit Package,Last ned Centre Audit Package,"Protected term(s): Centre, Centre Audit Package. Do not translate unless explicitly approved during review.",needs_review
pilot.release.title,Pilot release notes,Poznámky k pilotní verzi,Pilot versjonsnotater,Target intentionally blank for reviewer translation.,needs_review
pilot.release.subtitle,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,Tento panel popisuje rozsah pilotního prototypu. Nejde o oficiální certifikační výstup VETcert.,Dette panelet beskriver omfanget av pilotprototypen. Det er ikke den offisielle VETcert-sertifiseringsutdataen.,Target intentionally blank for reviewer translation.,needs_review
pilot.release.available,Available in this pilot,Dostupné v tomto pilotu,Tilgjengelig i denne piloten,Target intentionally blank for reviewer translation.,needs_review
pilot.release.notIncluded,Not included yet,Zatím není zahrnuto,Ikke inkludert ennå,Target intentionally blank for reviewer translation.,needs_review
help.candidate.title,Candidate quick help,Rychlá nápověda pro kandidáta,Candidate hurtighjelp,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
help.candidate.qr,Scan your personal Candidate QR issued by the Centre.,Naskenujte svůj osobní Candidate QR vydaný Centrem.,Skann din personlige Candidate QR utstedt av Centre.,"Protected term(s): Candidate, Centre, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
help.candidate.identity,Confirm your identity before opening sections.,Před otevřením sekcí potvrďte svou identitu.,Bekreft din identitet før åpning av seksjoner.,Target intentionally blank for reviewer translation.,needs_review
help.candidate.autosave,Written test answers autosave to the sync queue.,Odpovědi ve written test se automaticky ukládají do sync queue.,Skriftlig test svar lagres automatisk til sync queue.,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
help.candidate.photos,"Consulting report photo entries are pilot/archive placeholders, not real uploads yet.","Foto položky v Consulting reportu jsou zatím pilot/archive placeholders, nejde o skutečný upload.","Consulting rapport fotooppføringer er pilot/archive placeholders, not ekte opplastinger ennå.","Protected term(s): Consulting, pilot/archive placeholder. Do not translate unless explicitly approved during review.",needs_review
help.candidate.ask,"If something looks wrong, ask Centre staff before final submit.","Pokud něco vypadá špatně, před finálním odesláním se zeptejte personálu Centra.","Hvis noe ser feil ut, spør Centre personale før endelig innsending.",Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
help.examiner.title,Examiner quick help,Rychlá nápověda pro zkoušejícího,Examiner hurtighjelp,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
help.examiner.qr,Scan your personal Examiner QR issued by the Centre.,Naskenujte svůj osobní Examiner QR vydaný Centrem.,Skann din personlige Examiner QR utstedt av Centre.,"Protected term(s): Examiner, Centre, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
help.examiner.identity,Confirm your identity before opening outdoor forms.,Před otevřením outdoor forms potvrďte svou identitu.,Bekreft din identitet før åpning av utendørs skjemaer.,Target intentionally blank for reviewer translation.,needs_review
help.examiner.assigned,Only assigned Candidates are shown.,Zobrazují se pouze přiřazení kandidáti.,Bare tildelt Candidates er vist.,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
help.examiner.primary,Primary Examiner completes the full outdoor form; Secondary input is supporting.,Primary Examiner vyplňuje celý outdoor form; Secondary input je podpůrný.,Primary Examiner fullfører fullstendig utendørsskjema; Secondary inndata er støttende.,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
help.examiner.autosave,Scores and notes autosave to the sync queue.,Skóre a poznámky se automaticky ukládají do sync queue.,Poeng og notater lagres automatisk til sync queue.,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
help.examiner.missing,"If assigned Candidates are missing, ask the Centre to assign and save Centre Setup.","Pokud přiřazení kandidáti chybí, požádejte Centrum o přiřazení a uložení Centre Setup.","Hvis tildelt Candidates er mangler, spør Centre til tildele og lagre Centre Setup.","Protected term(s): Candidate, Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.validation.title,Centre Setup checks,Kontroly Centre Setup,Centre Setup checks,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.validation.ready,Ready for pilot smoke test,Připraveno pro pilotní smoke test,Klar for pilot smoke test,Target intentionally blank for reviewer translation.,needs_review
centre.validation.action,Action required before pilot smoke test,Před pilotním smoke testem je potřeba zásah,Action påkrevd før pilot smoke test,Target intentionally blank for reviewer translation.,needs_review
centre.validation.helper,Errors should be fixed before distributing QR links. Warnings can be reviewed during pilot preparation.,Chyby je vhodné opravit před distribucí QR odkazů. Varování lze vyhodnotit během přípravy pilotu.,Feil bør rettes før distribusjon av QR-lenker. Advarsler kan gjennomgås under pilotforberedelse.,Target intentionally blank for reviewer translation.,needs_review
centre.validation.empty,No validation issues. Setup is ready for pilot smoke test.,Žádné validační problémy. Setup je připraven pro pilotní smoke test.,Nei validation issues. Setup er klar for pilot smoke test.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.title,Pilot readiness guardrails,Pilotní guardrails připravenosti,Sperrer for pilotberedskap,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.helper,"These guardrails do not block demo testing, but they should be resolved before a real pilot run.","Tyto guardrails neblokují demo testování, ale před reálným pilotem by měly být vyřešeny.","These guardrails do not block demo testing, but they should be resolved før en ekte pilot run.",Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.ready,Pilot readiness looks good.,Pilotní připravenost vypadá dobře.,Pilot readiness looks good.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.validation,Fix validation errors before distributing QR links.,Opravte validační chyby před distribucí QR odkazů.,Fix validation errors før distribusjon av QR-lenker.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.unsaved,Save Centre Setup before distributing QR links.,Uložte Centre Setup před distribucí QR odkazů.,Lagre Centre Setup før distribusjon av QR-lenker.,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.guardrails.testPackage,Import/select a test package before written test pilot runs.,Importujte/vyberte testový balíček před pilotním během written test.,Importer/select en testpakke før Skriftlig test pilot runs.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.backend,Load backend Centre Setup before pilot testing with real users.,Před testováním s reálnými uživateli načtěte backendový Centre Setup.,Last inn backend Centre Setup før pilot testing med ekte users.,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.run.title,Pilot run summary,Souhrn pilotního běhu,Sammendrag av pilotkjoring,Target intentionally blank for reviewer translation.,needs_review
